City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,69.71,89,68,7.94,ZA,1712014761
1,pathein,16.7833,94.7333,75.52,89,0,5.41,MM,1712014878
2,whitehorse,60.7161,-135.0538,38.17,37,100,13.8,CA,1712014737
3,howrah,22.5892,88.3103,82.4,89,20,0.0,IN,1712014764
4,puerto natales,-51.7236,-72.4875,44.71,88,100,5.5,CL,1712014740
5,codrington,-38.2667,141.9667,61.5,79,76,17.96,AU,1712014864
6,neiafu,-18.65,-173.9833,86.68,74,75,12.66,TO,1712014934
7,hasaki,35.7333,140.8333,59.29,54,8,3.51,JP,1712014855
8,yellowknife,62.456,-114.3525,25.41,83,75,11.5,CA,1712014763
9,puerto armuelles,8.2833,-82.8667,87.78,55,7,1.01,PA,1712014936
10,olonkinbyen,70.9221,-8.7187,22.39,58,100,12.3,SJ,1712014378
11,waitangi,-43.9535,-176.5597,57.81,80,100,3.0,NZ,1712014157
12,tiksi,71.6872,128.8694,13.93,91,100,5.95,RU,1712014178
13,ancud,-41.8697,-73.8203,50.07,72,84,2.51,CL,1712014938
14,grytviken,-54.2811,-36.5092,34.47,84,28,10.33,GS,1712014371
15,ushuaia,-54.8,-68.3,49.66,53,40,13.8,AR,1712014416
16,thompson,55.7435,-97.8558,33.96,44,75,5.75,CA,1712014316
17,parkes,-33.1333,148.1833,68.36,94,98,11.32,AU,1712014939
18,port-aux-francais,-49.35,70.2167,43.59,76,50,19.24,TF,1712014160
19,mount isa,-20.7333,139.5,80.37,65,60,5.75,AU,1712014941
20,enewetak,11.3474,162.3373,80.73,72,91,15.32,MH,1712014171
21,albany,42.6001,-73.9662,54.01,56,99,4.0,US,1712014194
22,iqaluit,63.7506,-68.5145,33.53,86,100,25.32,CA,1712014169
23,dongola,19.1667,30.4833,77.14,21,0,8.75,SD,1712014943
24,fale old settlement,-9.3852,-171.2468,85.23,73,23,12.86,TK,1712014437
25,keflavik,64.0049,-22.5624,25.23,63,20,27.63,IS,1712014944
26,auki,-8.7676,160.7034,85.37,68,77,2.93,SB,1712014944
27,ihosy,-22.4,46.1167,66.87,94,98,11.59,MG,1712014944
28,west island,-12.1568,96.8225,80.58,83,75,11.5,CC,1712014384
29,ribeira brava,32.65,-17.0667,65.03,80,50,7.36,PT,1712014947
30,ilulissat,69.2167,-51.1,24.82,93,75,0.0,GL,1712014402
31,vila franca do campo,37.7167,-25.4333,61.21,83,41,18.5,PT,1712014214
32,tazovsky,67.4667,78.7,11.14,97,97,7.23,RU,1712014380
33,margaret river,-33.95,115.0667,49.95,86,1,10.89,AU,1712014164
34,muang khong,14.1167,105.85,83.52,63,1,5.19,LA,1712014949
35,san patricio,28.017,-97.5169,85.53,70,100,15.17,US,1712014226
36,port mathurin,-19.6833,63.4167,79.02,85,82,14.29,MU,1712014831
37,papatowai,-46.5619,169.4708,58.48,64,58,1.16,NZ,1712014185
38,itirapina,-22.2528,-47.8228,70.0,66,72,1.74,BR,1712014951
39,wailua homesteads,22.0669,-159.378,79.23,73,100,14.97,US,1712014433
40,westport,41.1415,-73.3579,52.47,67,20,4.61,US,1712014816
41,ribeira grande,38.5167,-28.7,61.77,83,68,21.0,PT,1712014418
42,katsuura,35.1333,140.3,57.56,63,8,4.97,JP,1712014953
43,adamstown,-25.066,-130.1015,75.61,76,78,23.35,PN,1712014395
44,khark,29.2614,50.3306,70.92,76,0,4.74,IR,1712014953
45,port elizabeth,-33.918,25.5701,64.31,73,100,5.75,ZA,1712014371
46,sijunjung,-0.6876,100.9537,73.96,98,62,0.69,ID,1712014954
47,betio village,1.358,172.9211,87.84,79,70,10.69,KI,1712014955
48,maroantsetra,-15.4333,49.7333,78.06,87,100,3.56,MG,1712014955
49,marine corps base hawaii - mcbh,21.4453,-157.7513,80.56,72,73,10.0,US,1712014955
50,privolzhskiy,51.4,46.0333,51.08,80,76,7.34,RU,1712014956
51,kapa'a,22.0752,-159.319,80.58,72,100,14.97,US,1712014430
52,georgetown,5.4112,100.3354,82.94,89,20,2.3,MY,1712014353
53,tura,25.5198,90.2201,68.47,87,4,6.2,IN,1712014395
54,bodo,67.28,14.405,26.64,70,75,13.8,NO,1712014958
55,bilibino,68.0546,166.4372,-2.16,66,95,1.97,RU,1712014199
56,souillac,-20.5167,57.5167,77.38,94,75,17.27,MU,1712014959
57,isafjordur,66.0755,-23.124,25.65,77,99,25.05,IS,1712014204
58,kone,-21.0595,164.8658,84.54,53,21,3.98,NC,1712014959
59,victoria de durango,24.0333,-104.6667,73.02,41,20,34.52,MX,1712014884
60,nantucket,41.2835,-70.0995,45.14,83,20,4.61,US,1712014960
61,longyearbyen,78.2186,15.6401,4.84,72,75,4.61,SJ,1712014961
62,sikandarabad,28.45,77.7,68.41,20,69,6.24,IN,1712014961
63,brooks,50.5834,-111.8851,49.98,54,7,2.3,CA,1712014962
64,broken hill,-31.95,141.4333,64.0,48,0,18.39,AU,1712014962
65,crane,31.3974,-102.3501,70.57,15,49,29.59,US,1712014774
66,maloye ganyushkino,46.6,49.2667,49.08,52,65,8.03,KZ,1712014963
67,edinburgh of the seven seas,-37.0676,-12.3116,65.39,92,76,20.96,SH,1712014159
68,nemuro,43.3236,145.575,35.51,69,81,13.58,JP,1712014397
69,arraial do cabo,-22.9661,-42.0278,75.16,83,20,4.61,BR,1712014964
70,kabanga,-2.6386,30.4678,59.23,95,38,2.37,TZ,1712014964
71,queenstown,-31.8976,26.8753,60.62,79,51,3.96,ZA,1712014860
72,wagar,16.1525,36.2032,81.46,20,28,9.62,SD,1712014965
73,saipan,15.1355,145.701,84.9,1,40,19.57,MP,1712014830
74,puerto ayora,-0.7393,-90.3518,79.52,72,46,7.49,EC,1712014180
75,the pas,53.8251,-101.2541,32.02,100,100,3.44,CA,1712014966
76,karkkila,60.5342,24.2098,43.48,87,100,8.79,FI,1712014967
77,lenti,46.624,16.5386,49.96,91,85,7.74,HU,1712014967
78,st. john's,47.5649,-52.7093,34.68,94,100,5.75,CA,1712014186
79,thinadhoo,0.5333,72.9333,83.8,72,94,3.27,MV,1712014968
80,lazaro cardenas,17.9583,-102.2,79.75,68,79,8.5,MX,1712014799
81,hamilton,39.1834,-84.5333,69.24,80,75,5.75,US,1712014873
82,umka,44.6781,20.3047,73.6,28,0,12.66,RS,1712014969
83,ust-nera,64.5667,143.2,9.84,81,50,2.13,RU,1712014970
84,chui,-33.6971,-53.4616,60.55,89,100,11.56,UY,1712014256
85,chonchi,-42.6128,-73.8092,54.61,88,75,1.88,CL,1712014299
86,necochea,-38.5473,-58.7368,53.8,77,10,9.24,AR,1712014844
87,dudinka,69.4058,86.1778,4.68,90,100,14.0,RU,1712014229
88,cill airne,52.05,-9.5167,45.46,89,91,2.82,IE,1712014971
89,hawaiian paradise park,19.5933,-154.9731,78.31,82,100,12.66,US,1712014387
90,mulanje,-16.0316,35.5,66.47,97,45,3.47,MW,1712014972
91,bassar,9.25,0.7833,81.97,61,98,3.83,TG,1712014973
92,ghat,24.9647,10.1728,77.29,10,1,3.91,LY,1712014973
93,ambon,-3.6954,128.1814,77.14,100,20,2.3,ID,1712014973
94,kingston,17.997,-76.7936,83.35,81,40,24.16,JM,1712014460
95,blackmans bay,-43.0167,147.3167,59.74,95,100,4.05,AU,1712014420
96,sinop,41.7711,34.8709,60.62,49,5,8.14,TR,1712014420
97,muynoq,43.7683,59.0214,47.84,68,4,8.9,UZ,1712014975
98,bethel,41.3712,-73.414,51.44,62,100,3.0,US,1712014376
99,hermanus,-34.4187,19.2345,60.8,87,84,12.82,ZA,1712014107
100,weil der stadt,48.75,8.8667,45.86,80,79,11.54,DE,1712014977
101,sitka,57.0531,-135.33,46.29,57,100,18.41,US,1712014391
102,nizhneangarsk,55.7833,109.55,17.01,95,99,1.99,RU,1712014978
103,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,81,0,15.01,RU,1712014978
104,haiku-pauwela,20.9219,-156.3051,80.62,73,40,23.02,US,1712014979
105,sidney,-33.8679,151.2073,76.55,74,89,10.36,AU,1712014961
106,cockburn town,21.4612,-71.1419,76.24,67,1,18.66,TC,1712014433
107,klyuchi,52.2667,79.1667,37.29,78,100,8.61,RU,1712014712
108,colonia,50.9333,6.95,49.96,84,0,9.22,DE,1712014409
109,invercargill,-46.4,168.35,61.02,71,7,3.0,NZ,1712014215
110,acarau,-2.8856,-40.12,79.57,84,78,5.97,BR,1712014873
111,mount gambier,-37.8333,140.7667,59.22,83,64,14.07,AU,1712014247
112,stanley,54.868,-1.6985,37.78,97,20,2.3,GB,1712014736
113,fonte boa,-2.4959,-66.2662,74.28,99,100,2.06,BR,1712014983
114,jindabyne,-36.4167,148.6333,61.57,61,89,20.0,AU,1712014983
115,san clemente del tuyu,-36.3569,-56.7235,62.98,63,61,9.53,AR,1712014743
116,kodiak,57.79,-152.4072,35.11,55,100,18.41,US,1712014280
117,copiapo,-27.3667,-70.3333,60.49,61,0,2.73,CL,1712014984
118,karratha,-20.7377,116.8463,88.03,32,1,19.3,AU,1712014985
119,chingirlau,51.095,54.0814,45.3,84,63,5.93,KZ,1712014985
120,maricopa,33.0581,-112.0476,66.42,55,40,5.75,US,1712014742
121,i-n-salah,27.1935,2.4607,77.34,13,2,9.24,DZ,1712014986
122,constantia,44.1833,28.65,61.7,71,41,9.8,RO,1712014801
123,madimba,-10.4,40.3333,76.41,92,89,7.78,TZ,1712014987
124,utrik,11.2278,169.8474,81.09,70,100,14.54,MH,1712014407
125,newman,37.3138,-121.0208,71.83,45,0,7.0,US,1712014460
126,tarawa,1.419,172.984,87.89,74,20,6.91,KI,1712014988
127,russellville,35.2784,-93.1338,76.98,71,100,4.61,US,1712014737
128,mil'kovo,55.6078,37.7956,55.8,71,65,7.92,RU,1712014989
129,santa marta,11.2408,-74.199,87.85,58,20,20.71,CO,1712014707
130,grand falls-windsor,48.9332,-55.6649,36.5,86,100,1.01,CA,1712014221
131,callao,-12.0667,-77.15,75.49,69,0,14.97,PE,1712014115
